No,Expected values,Had deterioration not occured?,"MLP 13: 13-20-12-1:1",Had deterioration not occured?,Was prediction correct ?,"MLP 12: 12-20-14-1:1",Had deterioration not occured?,Was prediction correct ?,,
1,"0,166667",FALSE,"0,251501",FALSE,TRUE,"0,31425",FALSE,TRUE,,
2,"0,363636",FALSE,"0,327791",FALSE,TRUE,"0,435394",FALSE,TRUE,,
3,"0,333333",FALSE,"0,354619",FALSE,TRUE,"0,297487",FALSE,TRUE,,
4,"0,000000",TRUE,"0,075336",FALSE,FALSE,"0,012003",TRUE,TRUE,,
5,"0,000000",TRUE,"0,07382",TRUE,TRUE,"0,12124",FALSE,FALSE,,
6,"0,000000",TRUE,"0,028417",TRUE,TRUE,"0,036233",TRUE,TRUE,,
7,"0,285714",FALSE,"0,4225",FALSE,TRUE,"0,306602",FALSE,TRUE,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,